Country,Product,Value
Yemen,Whole Milk,204016
Viet Nam,Pig Meat,3816414
Venezuela (Bolivarian Republic of),Whole Milk,2203957
Uzbekistan,Whole Milk,10415660
Uruguay,Whole Milk,2173000
United States of America,Whole Milk,98687302
United Republic of Tanzania,Whole Milk,2400143
United Kingdom of Great Britain and Northern Ireland,Whole Milk,15311000
Ukraine,Whole Milk,10064000
Uganda,Whole Milk,2040000
Turkey,Whole Milk,20036877
Tunisia,Whole Milk,1377000
Trinidad and Tobago,Chicken Meat,65041
Togo,Coffee,19076
Thailand,Coffee,23619
Tajikistan,Whole Milk,983053
Syrian Arab Republic,Whole Milk,1072304
Switzerland,Whole Milk,3913000
Sweden,Whole Milk,2760230
Suriname,Chicken Meat,10277
Sudan,Whole Milk,2965000
Sri Lanka,Whole Milk,385679
Spain,Whole Milk,7335620
South Africa,Whole Milk,3752610
Slovenia,Whole Milk,628930
Slovakia,Whole Milk,904620
Singapore,Hen Eggs,29304
Sierra Leone,Cocoa, beans,50150
Serbia,Whole Milk,1537375
Senegal,Whole Milk,221000
Saudi Arabia,Whole Milk,2074562
Sao Tome and Principe,Cocoa, beans,3046
Saint Vincent and the Grenadines,Cattle Meat,207
Saint Lucia,Cocoa, beans,17
Saint Kitts and Nevis,Pig Meat,57
Rwanda,Coffee,38643
Russian Federation,Whole Milk,30344766
Romania,Whole Milk,3797600
Republic of Moldova,Whole Milk,373095
Portugal,Whole Milk,1939670
Poland,Whole Milk,14171150
Philippines,Hen Eggs,533905
Peru,Whole Milk,2067143
Paraguay,Cattle Meat,489400
Panama,Cattle Meat,70397
Palestine,Olive Oil, virgin,14740
Pakistan,Whole Milk,19858000
Oman,Whole Milk,97994
Norway,Whole Milk,1571897
North Macedonia,Whole Milk,404230
Niger,Whole Milk,732328
Nicaragua,Coffee,141931
New Zealand,Whole Milk,21392000
New Caledonia,Pig Meat,2906
Netherlands,Whole Milk,14090000
Nepal,Whole Milk,754126
Nauru,Hen Eggs,8
Myanmar,Coffee,8678
Mozambique,Chicken Meat,97982
Morocco,Whole Milk,2550000
Montenegro,Whole Milk,168233
Mongolia,Whole Milk,553344
Mexico,Whole Milk,12005692
Mauritius,Chicken Meat,49000
Malta,Whole Milk,40410
Mali,Whole Milk,268576
Malaysia,Palm Oil,19516141
Malawi,Pig Meat,268061
Luxembourg,Whole Milk,407620
Lithuania,Whole Milk,1568010
Latvia,Whole Milk,980200
Lao People's Democratic Republic,Coffee,154435
Kyrgyzstan,Whole Milk,1569187
Kuwait,Whole Milk,66429
Kenya,Whole Milk,3778207
Kazakhstan,Whole Milk,5642283
Jordan,Whole Milk,320169
Japan,Whole Milk,7289227
Jamaica,Chicken Meat,132347
Italy,Whole Milk,12339750
Israel,Whole Milk,1592510
Ireland,Whole Milk,7831250
Iraq,Chicken Meat,109388
Indonesia,Palm Oil,40567230
India,Whole Milk,89833590
Iceland,Whole Milk,156980
Hungary,Whole Milk,1948830
Honduras,Coffee,485517
Guyana,Chicken Meat,42022
Guinea,Whole Milk,180500
Guatemala,Whole Milk,556535
Greece,Whole Milk,654800
Germany,Whole Milk,33086810
Georgia,Whole Milk,545300
France,Whole Milk,25055100
Finland,Whole Milk,2397880
Fiji,Chicken Meat,35499
Ethiopia,Coffee,494574
Estonia,Whole Milk,796900
Egypt,Whole Milk,2881549
Ecuador,Cocoa, beans,235182
Dominican Republic,Whole Milk,894807
Denmark,Whole Milk,5615200
Democratic Republic of the Congo,Chicken Meat,10341
Czechia,Whole Milk,3161510
Cyprus,Whole Milk,228080
Cuba,Whole Milk,576900
Croatia,Whole Milk,618000
Costa Rica,Whole Milk,1161517
Colombia,Whole Milk,22888022
China,Pig Meat,54983660
Chile,Chicken Meat,667243
Canada,Whole Milk,9218754
Cabo Verde,Whole Milk,4445
Burundi,Coffee,14216
Bulgaria,Whole Milk,898770
Brazil,Whole Milk,34934204
Bosnia and Herzegovina,Whole Milk,676712
Bolivia (Plurinational State of),Whole Milk,544412
Bhutan,Chicken Meat,1806
Benin,Whole Milk,121975
Belize,Chicken Meat,19677
Belgium,Whole Milk,4244000
Belarus,Whole Milk,7328600
Barbados,Chicken Meat,16466
Bahrain,Whole Milk,10584
Azerbaijan,Whole Milk,2042789
Austria,Whole Milk,3821190
Australia,Whole Milk,9289000
Armenia,Whole Milk,645700
Argentina,Whole Milk,10526600
Antigua and Barbuda,Cattle Meat,76
Algeria,Whole Milk,2497137
Albania,Whole Milk,973526
