Country,Product,Value
Yemen,Eggs hen in shell (number),1308000
Viet Nam,Eggs hen in shell (number),8874300
Venezuela (Bolivarian Republic of),Eggs hen in shell (number),3328323
Uzbekistan,Milk whole fresh cow,8994767
Uruguay,Milk whole fresh cow,2182000
United States of America,Eggs hen in shell (number),97208200
Tanzania,Milk whole fresh cow,2058726
United Kingdom,Milk whole fresh cow,15324000
UAE,Eggs hen in shell (number),956589
Ukraine,Eggs hen in shell (number),16615100
Uganda,Milk whole fresh cow,1596000
Turkey,Milk whole fresh cow,16933520
Tunisia,Eggs hen in shell (number),2348000
Trinidad and Tobago,Eggs hen in shell (number),57597
Togo,Coffee green,16093
Thailand,Coffee green,26089
Tajikistan,Milk whole fresh cow,888960
Syrian Arab Republic,Oil olive virgin,164529
Switzerland,Milk whole fresh cow,4042500
Sweden,Milk whole fresh cow,2933000
Suriname,Eggs hen in shell (number),72017
Sudan,Milk whole fresh cow,2858000
Sri Lanka,Meat chicken,164450
Spain,Eggs hen in shell (number),12780000
South Africa,Eggs hen in shell (number),10252788
Slovenia,Milk whole fresh cow,630583
Slovakia,Eggs hen in shell (number),1114944
Singapore,Eggs hen in shell,25290
Seychelles,Eggs hen in shell (number),29658
Serbia,Eggs hen in shell (number),2060605
Saudi Arabia,Eggs hen in shell (number),4995191
Saint Vincent and the Grenadines,Eggs hen in shell (number),12800
Saint Kitts and Nevis,Meat pig,70
Rwanda,Coffee green,21808
Russian Federation,Eggs hen in shell (number),42092973
Romania,Eggs hen in shell (number),6383150
Republic of Moldova,Milk whole fresh cow,479544
Republic of Korea,Milk whole fresh cow,2168157
Qatar,Meat chicken,8527
Puerto Rico,Meat chicken,33505
Portugal,Eggs hen in shell (number),2057182
Poland,Milk whole fresh cow,13236229
Philippines,Meat pig,1775712
Peru,Milk whole fresh cow,1903177
Paraguay,Coffee green,395
Panama,Eggs hen in shell (number),657255
Palestine,Oil olive virgin,21084
Pakistan,Eggs hen in shell (number),15346000
Oman,Eggs hen in shell (number),342470
Norway,Milk whole fresh cow,1586580
North Macedonia,Milk whole fresh cow,361072
Nigeria,Meat cattle,384396
Niger,Milk whole fresh cow,614877
Nicaragua,Eggs hen in shell (number),585678
New Zealand,Milk whole fresh cow,21938825
New Caledonia,Eggs hen in shell (number),40119
Netherlands,Milk whole fresh cow,13330873
Nepal,Eggs hen in shell (number),865947
Myanmar,Eggs hen in shell (number),10616122
Mozambique,Meat chicken,75161
Morocco,Milk whole fresh cow,2450000
Montenegro,Milk whole fresh cow,170701
Mongolia,Milk whole fresh cow,512442
Mexico,Milk whole fresh cow,11394663
Mauritius,Eggs hen in shell (number),218200
Malta,Eggs hen in shell (number),78853
Mali,Eggs hen in shell (number),441079
Malaysia,Oil palm,19961581
Malawi,Meat pig,127292
Madagascar,Coffee green,47507
Luxembourg,Milk whole fresh cow,346253
Lithuania,Milk whole fresh cow,1734726
Latvia,Milk whole fresh cow,975357
Lao People's Democratic Republic,Coffee green,135925
