Country,Product,Value
Yemen,Whole Milk,225717
Viet Nam,Pig Meat,3491600
Venezuela (Bolivarian Republic of),Whole Milk,2291639
Uzbekistan,Whole Milk,8994767
Uruguay,Whole Milk,2182000
United States of America,Whole Milk,94618978
United Republic of Tanzania,Whole Milk,2058726
United Kingdom of Great Britain and Northern Ireland,Whole Milk,15324000
Ukraine,Whole Milk,10359400
Uganda,Whole Milk,1596000
Turkey,Whole Milk,16933520
Tunisia,Whole Milk,1376000
Trinidad and Tobago,Chicken Meat,48562
Togo,Coffee,16093
Thailand,Coffee,26089
Tajikistan,Whole Milk,888960
Syrian Arab Republic,Olive Oil, virgin,164529
Switzerland,Whole Milk,4042500
Sweden,Whole Milk,2933000
Suriname,Chicken Meat,8876
Sudan,Whole Milk,2858000
Sri Lanka,Chicken Meat,164450
Spain,Whole Milk,6825000
South Africa,Whole Milk,3538435
Slovenia,Whole Milk,630583
Slovakia,Whole Milk,948711
Singapore,Hen Eggs,25290
Serbia,Whole Milk,1546216
Saint Vincent and the Grenadines,Cattle Meat,213
Saint Kitts and Nevis,Pig Meat,70
Rwanda,Coffee,21808
Russian Federation,Whole Milk,30521690
Romania,Whole Milk,4005994
Republic of Moldova,Whole Milk,479544
Republic of Korea,Whole Milk,2168157
Qatar,Chicken Meat,8527
Puerto Rico,Chicken Meat,33505
Portugal,Whole Milk,2049809
Poland,Whole Milk,13236229
Philippines,Pig Meat,1775712
Peru,Whole Milk,1903177
Paraguay,Coffee,395
Panama,Whole Milk,211224
Palestine,Olive Oil, virgin,21084
Pakistan,Whole Milk,14965000
Oman,Whole Milk,92340
Norway,Whole Milk,1586580
North Macedonia,Whole Milk,361072
Nigeria,Cattle Meat,384396
Niger,Whole Milk,614877
Nicaragua,Chicken Meat,128927
New Zealand,Whole Milk,21938825
New Caledonia,Pig Meat,3981
Netherlands,Whole Milk,13330873
Nepal,Whole Milk,557669
Myanmar,Chicken Meat,1505000
Mozambique,Chicken Meat,75161
Morocco,Whole Milk,2450000
Montenegro,Whole Milk,170701
Mongolia,Whole Milk,512442
Mexico,Whole Milk,11394663
Mauritius,Chicken Meat,46400
Malta,Whole Milk,41638
Mali,Whole Milk,293399
Malaysia,Palm Oil,19961581
Malawi,Pig Meat,127292
Madagascar,Coffee,47507
Luxembourg,Whole Milk,346253
Lithuania,Whole Milk,1734726
Latvia,Whole Milk,975357
Lao People's Democratic Republic,Coffee,135925
Kyrgyzstan,Whole Milk,1450680
Kuwait,Hen Eggs,72000
Kenya,Whole Milk,3444214
Kazakhstan,Whole Milk,5141622
Jordan,Whole Milk,270411
Japan,Whole Milk,7379234
Jamaica,Chicken Meat,112855
Italy,Whole Milk,11159203
Israel,Whole Milk,1389850
Ireland,Whole Milk,6585120
Iraq,Chicken Meat,86000
Iran (Islamic Republic of),Whole Milk,5704513
Indonesia,Palm Oil,31070015
India,Whole Milk,73645390
Iceland,Whole Milk,146034
Hungary,Whole Milk,1941326
Honduras,Coffee,332747
Guyana,Chicken Meat,30678
Guinea,Whole Milk,182018
Guatemala,Whole Milk,518728
Greece,Whole Milk,691648
Ghana,Cocoa, beans,858720
Germany,Whole Milk,32684572
Georgia,Whole Milk,556500
France,Whole Milk,25068226
Finland,Whole Milk,2435847
Fiji,Chicken Meat,23400
Ethiopia,Whole Milk,3200283
Estonia,Whole Milk,782700
El Salvador,Whole Milk,539265
Egypt,Whole Milk,2729199
Ecuador,Cocoa, beans,180192
Dominican Republic,Whole Milk,672237
Denmark,Whole Milk,5356270
Côte d'Ivoire,Cocoa, beans,1796000
Czechia,Whole Milk,3025882
Cyprus,Whole Milk,163300
Cuba,Whole Milk,493900
Croatia,Whole Milk,694400
Costa Rica,Whole Milk,1101721
Colombia,Whole Milk,6773808
Chile,Whole Milk,2028825
Central African Republic,Coffee,9050
Canada,Whole Milk,8160068
Cabo Verde,Whole Milk,3878
Burundi,Whole Milk,59896
Burkina Faso,Cattle Meat,94973
Bulgaria,Whole Milk,1028036
Brazil,Whole Milk,34609588
Bosnia and Herzegovina,Whole Milk,695601
Bolivia (Plurinational State of),Whole Milk,556448
Bhutan,Chicken Meat,1063
Benin,Whole Milk,112950
Belize,Chicken Meat,18495
Belgium,Whole Milk,3988147
Belarus,Whole Milk,7030200
Barbados,Chicken Meat,16134
Azerbaijan,Whole Milk,1889803
Austria,Whole Milk,3537757
Australia,Whole Milk,9489000
Armenia,Whole Milk,663800
Argentina,Whole Milk,12060900
Angola,Coffee,15000
Algeria,Whole Milk,2932000
Albania,Whole Milk,964000
