id,Product,Value
YEM,Whole Milk,204016
VNM,Pig Meat,3816414
VEN,Whole Milk,2203957
UZB,Whole Milk,10415660
URY,Whole Milk,2173000
USA,Whole Milk,98687302
TZA,Whole Milk,2400143
GBR,Whole Milk,15311000
UKR,Whole Milk,10064000
UGA,Whole Milk,2040000
TUR,Whole Milk,20036877
TUN,Whole Milk,1377000
TTO,Chicken Meat,65041
TGO,Coffee,19076
THA,Coffee,23619
TJK,Whole Milk,983053
SYR,Whole Milk,1072304
CHE,Whole Milk,3913000
SWE,Whole Milk,2760230
SUR,Chicken Meat,10277
SDN,Whole Milk,2965000
LKA,Whole Milk,385679
ESP,Whole Milk,7335620
ZAF,Whole Milk,3752610
SVN,Whole Milk,628930
SVK,Whole Milk,904620
SGP,Hen Eggs,29304
SLE,Cocoa, beans,50150
SRB,Whole Milk,1537375
SEN,Whole Milk,221000
SAU,Whole Milk,2074562
STP,Cocoa, beans,3046
VCT,Cattle Meat,207
LCA,Cocoa, beans,17
KNA,Pig Meat,57
RWA,Coffee,38643
RUS,Whole Milk,30344766
ROU,Whole Milk,3797600
MDA,Whole Milk,373095
PRT,Whole Milk,1939670
POL,Whole Milk,14171150
PHL,Hen Eggs,533905
PER,Whole Milk,2067143
PRY,Cattle Meat,489400
PAN,Cattle Meat,70397
PSA,Olive Oil, virgin,14740
PAK,Whole Milk,19858000
OMN,Whole Milk,97994
NOR,Whole Milk,1571897
MKD,Whole Milk,404230
NER,Whole Milk,732328
NIC,Coffee,141931
NZL,Whole Milk,21392000
NCL,Pig Meat,2906
NLD,Whole Milk,14090000
NPL,Whole Milk,754126
NRU,Hen Eggs,8
MMR,Coffee,8678
MOZ,Chicken Meat,97982
MAR,Whole Milk,2550000
MNE,Whole Milk,168233
MNG,Whole Milk,553344
MEX,Whole Milk,12005692
MUS,Chicken Meat,49000
MLT,Whole Milk,40410
MLI,Whole Milk,268576
MYS,Palm Oil,19516141
MWI,Pig Meat,268061
LUX,Whole Milk,407620
LTU,Whole Milk,1568010
LVA,Whole Milk,980200
LAO,Coffee,154435
KGZ,Whole Milk,1569187
KWT,Whole Milk,66429
KEN,Whole Milk,3778207
KAZ,Whole Milk,5642283
JOR,Whole Milk,320169
JPN,Whole Milk,7289227
JAM,Chicken Meat,132347
ITA,Whole Milk,12339750
ISR,Whole Milk,1592510
IRL,Whole Milk,7831250
IRQ,Chicken Meat,109388
IDN,Palm Oil,40567230
IND,Whole Milk,89833590
ISL,Whole Milk,156980
HUN,Whole Milk,1948830
HND,Coffee,485517
GUY,Chicken Meat,42022
GIN,Whole Milk,180500
GTM,Whole Milk,556535
GRC,Whole Milk,654800
DEU,Whole Milk,33086810
GEO,Whole Milk,545300
FRA,Whole Milk,25055100
FIN,Whole Milk,2397880
FJI,Chicken Meat,35499
ETH,Coffee,494574
EST,Whole Milk,796900
EGY,Whole Milk,2881549
ECU,Cocoa, beans,235182
DOM,Whole Milk,894807
DNK,Whole Milk,5615200
COD,Chicken Meat,10341
CZE,Whole Milk,3161510
CYP,Whole Milk,228080
CUB,Whole Milk,576900
HRV,Whole Milk,618000
CRI,Whole Milk,1161517
COL,Whole Milk,22888022
CHN,Pig Meat,54983660
CHL,Chicken Meat,667243
CAN,Whole Milk,9218754
CPV,Whole Milk,4445
BDI,Coffee,14216
BGR,Whole Milk,898770
BRA,Whole Milk,34934204
BIH,Whole Milk,676712
BOL,Whole Milk,544412
BTN,Chicken Meat,1806
BEN,Whole Milk,121975
BLZ,Chicken Meat,19677
BEL,Whole Milk,4244000
BLR,Whole Milk,7328600
BRB,Chicken Meat,16466
BHR,Whole Milk,10584
AZE,Whole Milk,2042789
AUT,Whole Milk,3821190
AUS,Whole Milk,9289000
ARM,Whole Milk,645700
ARG,Whole Milk,10526600
ATG,Cattle Meat,76
DZA,Whole Milk,2497137
ALB,Whole Milk,973526
