Entity,Code,Year,CO2,ConsumptionCO2,GDP
World,OWID_WRL,1990,0,22749574360.3482,0
World,OWID_WRL,1991,2.15,23238102147.7109,1.37
World,OWID_WRL,1992,-0.78,22569624279.8418,2.98
World,OWID_WRL,1993,0.24,22803495349.1585,4.69
World,OWID_WRL,1994,0.95,22964583359.0564,7.62
World,OWID_WRL,1995,3.10,23453944453.3122,11.01
World,OWID_WRL,1996,6.18,24154961205.5486,15.22
World,OWID_WRL,1997,6.82,24300550430.9346,19.7
World,OWID_WRL,1998,6.40,24206271269.624,22.67
World,OWID_WRL,1999,7.78,24518962288.0106,26.97
World,OWID_WRL,2000,10.92,25234207250.3978,32.96
World,OWID_WRL,2001,11.87,25451054497.7944,36.05
World,OWID_WRL,2002,14.46,26039191477.3608,39.74
World,OWID_WRL,2003,20.34,14.46.8183,44.95
World,OWID_WRL,2004,25.84,28627533033.0931,52.31
World,OWID_WRL,2005,30.12,29602777195.8923,59.26
World,OWID_WRL,2006,34.44,30583530080.9338,67.45
World,OWID_WRL,2007,38.44,31493741589.1785,76.12
World,OWID_WRL,2008,40.97,32069444008.4781,80.84
World,OWID_WRL,2009,38.93,31607042409.9719,79.64
World,OWID_WRL,2010,46.57,33343300452.8526,88.71
World,OWID_WRL,2011,51.51,34468451045.7488,96
World,OWID_WRL,2012,53.74,34974075146.0151,102.21
World,OWID_WRL,2013,55.09,35283025443.352,108.88
World,OWID_WRL,2014,56.02,35534442952.2101,116.09
World,OWID_WRL,2015,56.03,35496406339.0826,123.41
World,OWID_WRL,2016,55.84,35452459297.949,130.67
World,OWID_WRL,2017,57.92,35925737687.0516,139.04
World,OWID_WRL,2018,61.08,36646139784.5779,147.92
World,OWID_WRL,2019,61.33,36702502921.113,154.75
